,,,,,,,,,,,,txtTitle
,,,,,,,,,,,,ระบบบัญชี
repName,repCode,xpdate,PREPAYMENTDATE,xLINKTYPE,PREPAYMENTCODE,txtREFERNAME,ACCOUNTID,Text73,drsum,crsum,Text55,
,,ประเภท 03DH : ตรวจรับ (รายได้),,,,,,,,,,
,,,,,,,,,,,,
,,,1/9/2020,ซื้อ/จ้าง : D0363120911,03DH635536,401197บริษัทบี.คิว. ซัพพลาย แอนด์ เซอร์วิส จำกัด,503040  20202,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์และทรัพย์สิน-จากเงินรายได้ฯ,404181.8, ,จ้างเหมาเปลี่ยนฉนวนหุ้มท่อฯ จำนวน 1 งาน,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,404181.8,,
,,,1/9/2020,ซื้อ/จ้าง : D03631191926,03DH635537,403034บริษัทเทรเซอร์ โปรดักส์ มาร์เก็ตติ้ง จำกัด,  20  101010101  ,    เจ้าหนี้ค่าสินค้าและบริการ, ,494000.7,จัดซื้อวัสดุงานบ้านงานครัว จำนวน 2 รายการ,
,,,,,,,50304020307,ค่าวัสดุงานบ้านงานครัว-จากเงินรายได้ฯ,494000.7, ,,
,,,1/9/2020,ซื้อ/จ้าง : D03631191927,03DH635538,401169บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,37450,ค่าอวัยวะเทียมจำนวน 1 รายการ 3C207-01/2563#5538,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,37450, ,,
,,,2/9/2020,ซื้อ/จ้าง : D0363130058,03DH635539,402110บริษัท สบายพระราม 8 พร็อพเพอตี้ จำกัด,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,779100,เบิกจ่ายค่าเช่าหอพักสบายดี พระราม 8 ประจำเดือน สิงหาคม 2563,
,,,,,,,50304020231,ค่าเช่าหอพัก-จากเงินรายได้ฯ,770000, ,,
,,,,,,,50304020219,ค่าเช่าอาคาร-จากเงินรายได้ฯ,9100,,,
,,,2/9/2020,ซื้อ/จ้าง : D0363130060,03DH635540,402231นายฐิติเดช วนาโรจน์,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,149500,เบิกค่าเช่าหอพักชลทร จำนวน 23 ห้อง ประจำเดือน สิงหาคม 2563,
,,,,,,,50304020231,ค่าเช่าหอพัก-จากเงินรายได้ฯ,149500, ,,
